Date,Open,High,Low,Close
08/01/2008,"3,343.80","3,364.22","3,307.20","3,316.61"
07/31/2008,"3,370.28","3,402.12","3,342.06","3,367.82"
07/30/2008,"3,337.88","3,389.37","3,336.92","3,367.33"
07/29/2008,"3,288.98","3,337.57","3,265.91","3,324.86"
07/28/2008,"3,345.84","3,345.84","3,309.27","3,313.41"
07/25/2008,"3,331.98","3,365.80","3,300.01","3,351.13"
07/24/2008,"3,396.43","3,410.71","3,345.49","3,354.58"
07/23/2008,"3,351.98","3,396.68","3,351.98","3,387.50"
07/22/2008,"3,313.87","3,329.56","3,265.71","3,326.24"
07/21/2008,"3,322.72","3,365.06","3,293.62","3,333.92"
07/18/2008,"3,241.90","3,321.66","3,231.13","3,321.53"
07/17/2008,"3,199.58","3,278.00","3,199.58","3,256.09"
07/16/2008,"3,148.61","3,181.53","3,089.50","3,174.76"
07/15/2008,"3,193.06","3,193.06","3,107.42","3,142.73"
07/14/2008,"3,219.74","3,251.29","3,213.82","3,216.24"
07/11/2008,"3,290.93","3,303.42","3,197.78","3,197.78"
07/10/2008,"3,316.83","3,325.11","3,265.21","3,283.01"
07/09/2008,"3,307.46","3,344.36","3,307.46","3,342.48"
07/08/2008,"3,293.23","3,305.07","3,247.63","3,287.60"
07/07/2008,"3,293.97","3,339.82","3,283.21","3,332.66"
07/03/2008,"3,272.55","3,342.95","3,238.44","3,330.90"
07/02/2008,"3,295.59","3,335.05","3,276.46","3,288.52"
07/01/2008,"3,341.83","3,345.04","3,266.81","3,292.86"
06/30/2008,"3,339.54","3,358.80","3,298.05","3,352.81"
06/27/2008,"3,357.73","3,363.53","3,304.06","3,340.27"
06/26/2008,"3,441.92","3,441.92","3,366.35","3,366.35"
06/25/2008,"3,413.37","3,461.78","3,413.37","3,460.40"
06/24/2008,"3,427.53","3,446.74","3,364.69","3,404.52"
06/23/2008,"3,425.83","3,449.32","3,412.68","3,427.33"
06/20/2008,"3,490.44","3,506.42","3,401.80","3,426.58"
06/19/2008,"3,496.85","3,518.87","3,485.01","3,486.71"
06/18/2008,"3,550.55","3,550.55","3,494.13","3,507.97"
06/17/2008,"3,540.16","3,583.56","3,540.16","3,555.58"
06/16/2008,"3,540.81","3,563.03","3,502.68","3,532.83"
06/13/2008,"3,538.93","3,569.22","3,503.80","3,562.67"
06/12/2008,"3,511.97","3,555.35","3,511.97","3,542.59"
06/11/2008,"3,581.68","3,604.26","3,505.16","3,509.39"
06/10/2008,"3,588.60","3,592.98","3,543.97","3,574.70"
06/09/2008,"3,592.72","3,612.31","3,569.99","3,597.34"
06/06/2008,"3,689.94","3,717.62","3,596.63","3,596.70"
06/05/2008,"3,701.03","3,715.00","3,662.34","3,682.83"
06/04/2008,"3,730.99","3,730.99","3,666.78","3,699.05"
06/03/2008,"3,710.18","3,739.55","3,701.97","3,737.34"
06/02/2008,"3,775.39","3,777.97","3,715.50","3,720.50"
05/30/2008,"3,758.47","3,790.52","3,758.44","3,777.85"
05/29/2008,"3,750.35","3,774.25","3,731.76","3,752.24"
05/28/2008,"3,718.38","3,771.42","3,710.86","3,743.18"
05/27/2008,"3,732.99","3,739.31","3,695.40","3,711.03"
05/23/2008,"3,789.75","3,789.75","3,725.82","3,725.82"
05/22/2008,"3,784.17","3,804.98","3,752.66","3,793.03"
05/21/2008,"3,825.75","3,837.20","3,780.68","3,794.13"
05/20/2008,"3,864.73","3,864.73","3,816.72","3,822.31"
05/19/2008,"3,864.41","3,882.28","3,842.91","3,882.28"
05/16/2008,"3,866.41","3,893.68","3,850.90","3,862.91"
05/15/2008,"3,854.15","3,858.58","3,830.67","3,854.86"
05/14/2008,"3,829.48","3,867.59","3,810.80","3,857.46"
05/13/2008,"3,820.08","3,835.12","3,784.95","3,817.07"
05/12/2008,"3,807.30","3,831.49","3,798.01","3,812.69"
05/09/2008,"3,831.52","3,831.52","3,778.45","3,801.59"
05/08/2008,"3,856.32","3,861.91","3,829.93","3,855.86"
05/07/2008,"3,848.50","3,888.84","3,847.20","3,871.78"
05/06/2008,"3,869.15","3,875.84","3,821.76","3,845.08"
05/05/2008,"3,875.53","3,881.90","3,859.16","3,872.15"
05/02/2008,"3,835.38","3,900.30","3,835.38","3,877.50"
05/01/2008,"3,825.02","3,830.91","3,773.09","3,825.02"
