Date,Open,High,Low,Close,,,,,,,Date SP,Date EUR,,,,
05.05.2009,"903,80","906,10","907,70","897,34",,,,,,,05.05.2009,05/05/2009,,,,
04.05.2009,"907,24","879,21","907,85","879,21",,,,,,,04.05.2009,05/04/2009,,,,
01.05.2009,"877,52","872,74","880,48","866,10",,,,,,,01.05.2009,05/01/2009,,,,
30.04.2009,"872,81","876,59","888,70","868,51",,,,,,,30.04.2009,04/30/2009,,,,
29.04.2009,"873,64","856,85","882,06","856,85",,,,,,,29.04.2009,04/29/2009,,,,
28.04.2009,"855,16","854,48","864,48","847,12",,,,,,,28.04.2009,04/28/2009,,,,
27.04.2009,"857,51","862,82","868,83","854,65",,,,,,,27.04.2009,04/27/2009,,,,
24.04.2009,"866,23","853,91","871,80","853,91",,,,,,,24.04.2009,04/24/2009,,,,
23.04.2009,"851,92","844,62","852,87","835,45",,,,,,,23.04.2009,04/23/2009,,,,
22.04.2009,"843,55","847,26","861,78","840,57",,,,,,,22.04.2009,04/22/2009,,,,
21.04.2009,"850,08","831,25","850,09","826,83",,,,,,,21.04.2009,04/21/2009,,,,
20.04.2009,"832,39","868,27","868,27","832,39",,,,,,,20.04.2009,04/20/2009,,,,
17.04.2009,"869,60","865,18","875,63","860,87",,,,,,,17.04.2009,04/17/2009,,,,
16.04.2009,"865,30","854,54","870,35","847,04",,,,,,,16.04.2009,04/16/2009,,,,
15.04.2009,"852,06","839,44","852,93","835,58",,,,,,,15.04.2009,04/15/2009,,,,
14.04.2009,"841,50","856,88","856,88","840,25",,,,,,,14.04.2009,04/14/2009,,,,
13.04.2009,"858,73","855,33","864,31","845,35",,,,,,,13.04.2009,04/13/2009,,,,
09.04.2009,"856,56","829,29","856,91","829,29",,,,,,,09.04.2009,04/09/2009,,,,
08.04.2009,"825,16","816,76","828,42","814,84",,,,,,,08.04.2009,04/08/2009,,,,
07.04.2009,"815,55","834,12","834,12","814,53",,,,,,,07.04.2009,04/07/2009,,,,
06.04.2009,"835,48","839,75","839,75","822,79",,,,,,,06.04.2009,04/06/2009,,,,
03.04.2009,"842,50","835,13","842,50","826,70",,,,,,,03.04.2009,04/03/2009,,,,
02.04.2009,"834,38","814,53","845,61","814,53",,,,,,,02.04.2009,04/02/2009,,,,
01.04.2009,"811,08","793,59","813,62","783,32",,,,,,,01.04.2009,04/01/2009,,,,
31.03.2009,"797,87","790,88","810,48","790,88",,,,,,,31.03.2009,03/31/2009,,,,
30.03.2009,"787,53","809,07","809,07","779,81",,,,,,,30.03.2009,03/30/2009,,,,
27.03.2009,"815,94","828,68","828,68","813,43",,,,,,,27.03.2009,03/27/2009,,,,
26.03.2009,"832,86","814,06","832,98","814,06",,,,,,,26.03.2009,03/26/2009,,,,
25.03.2009,"813,88","806,81","826,78","791,37",,,,,,,25.03.2009,03/25/2009,,,,
24.03.2009,"806,12","820,60","823,65","805,48",,,,,,,24.03.2009,03/24/2009,,,,
23.03.2009,"822,92","772,31","823,37","772,31",,,,,,,23.03.2009,03/23/2009,,,,
20.03.2009,"768,54","784,58","788,91","766,20",,,,,,,20.03.2009,03/20/2009,,,,
19.03.2009,"784,04","797,92","803,24","781,82",,,,,,,19.03.2009,03/19/2009,,,,
18.03.2009,"794,35","776,01","803,04","765,64",,,,,,,18.03.2009,03/18/2009,,,,
17.03.2009,"778,12","753,88","778,12","749,93",,,,,,,17.03.2009,03/17/2009,,,,
16.03.2009,"753,89","758,84","774,53","753,37",,,,,,,16.03.2009,03/16/2009,,,,
13.03.2009,"756,55","751,97","758,29","742,46",,,,,,,13.03.2009,03/13/2009,,,,
12.03.2009,"750,74","720,89","752,63","714,76",,,,,,,12.03.2009,03/12/2009,,,,
11.03.2009,"721,36","719,59","731,92","713,85",,,,,,,11.03.2009,03/11/2009,,,,
10.03.2009,"719,60","679,28","719,60","679,28",,,,,,,10.03.2009,03/10/2009,,,,
09.03.2009,"676,53","680,76","695,27","672,88",,,,,,,09.03.2009,03/09/2009,,,,
06.03.2009,"683,38","684,04","699,09","666,79",,,,,,,06.03.2009,03/06/2009,,,,
05.03.2009,"682,55","708,27","708,27","677,93",,,,,,,05.03.2009,03/05/2009,,,,
04.03.2009,"712,87","698,60","724,12","698,60",,,,,,,04.03.2009,03/04/2009,,,,
03.03.2009,"696,33","704,44","711,67","692,30",,,,,,,03.03.2009,03/03/2009,,,,
02.03.2009,"700,82","729,57","729,57","699,70",,,,,,,02.03.2009,03/02/2009,,,,
27.02.2009,"735,09","749,93","751,27","734,52",,,,,,,27.02.2009,02/27/2009,,,,
26.02.2009,"752,83","765,76","779,42","751,75",,,,,,,26.02.2009,02/26/2009,,,,
25.02.2009,"764,90","770,64","780,12","752,89",,,,,,,25.02.2009,02/25/2009,,,,
24.02.2009,"773,14","744,69","775,49","744,69",,,,,,,24.02.2009,02/24/2009,,,,
23.02.2009,"743,33","773,25","777,85","742,37",,,,,,,23.02.2009,02/23/2009,,,,
20.02.2009,"770,05","775,87","778,69","754,25",,,,,,,20.02.2009,02/20/2009,,,,
19.02.2009,"778,94","787,91","797,58","777,03",,,,,,,19.02.2009,02/19/2009,,,,
18.02.2009,"788,42","791,06","796,17","780,43",,,,,,,18.02.2009,02/18/2009,,,,
17.02.2009,"789,17","818,61","818,61","789,17",,,,,,,17.02.2009,02/17/2009,,,,
13.02.2009,"826,84","833,95","839,43","825,21",,,,,,,13.02.2009,02/13/2009,,,,
12.02.2009,"835,19","829,91","835,48","808,06",,,,,,,12.02.2009,02/12/2009,,,,
11.02.2009,"833,74","827,41","838,22","822,30",,,,,,,11.02.2009,02/11/2009,,,,
10.02.2009,"827,16","866,87","868,05","822,99",,,,,,,10.02.2009,02/10/2009,,,,
09.02.2009,"869,89","868,24","875,01","861,65",,,,,,,09.02.2009,02/09/2009,,,,
06.02.2009,"868,60","846,09","870,75","845,42",,,,,,,06.02.2009,02/06/2009,,,,
05.02.2009,"845,85","831,75","850,55","819,91",,,,,,,05.02.2009,02/05/2009,,,,
04.02.2009,"832,23","837,77","851,85","829,18",,,,,,,04.02.2009,02/04/2009,,,,
03.02.2009,"838,51","825,69","842,60","821,98",,,,,,,03.02.2009,02/03/2009,,,,
02.02.2009,"825,44","823,09","830,78","812,87",,,,,,,02.02.2009,02/02/2009,,,,
30.01.2009,"825,88","845,69","851,66","821,67",,,,,,,30.01.2009,01/30/2009,,,,
29.01.2009,"845,14","868,89","868,89","844,15",,,,,,,29.01.2009,01/29/2009,,,,
28.01.2009,"874,09","845,73","877,86","845,73",,,,,,,28.01.2009,01/28/2009,,,,
27.01.2009,"845,71","837,30","850,45","835,40",,,,,,,27.01.2009,01/27/2009,,,,
26.01.2009,"836,57","832,50","852,53","827,69",,,,,,,26.01.2009,01/26/2009,,,,
23.01.2009,"831,95","822,16","838,61","806,07",,,,,,,23.01.2009,01/23/2009,,,,
22.01.2009,"827,50","839,74","839,74","811,29",,,,,,,22.01.2009,01/22/2009,,,,
21.01.2009,"840,24","806,77","841,72","804,30",,,,,,,21.01.2009,01/21/2009,,,,
20.01.2009,"805,22","849,64","849,64","804,47",,,,,,,20.01.2009,01/20/2009,,,,
16.01.2009,"850,12","844,45","858,13","830,66",,,,,,,16.01.2009,01/16/2009,,,,
15.01.2009,"843,74","841,99","851,59","817,04",,,,,,,15.01.2009,01/15/2009,,,,
14.01.2009,"842,62","867,28","867,28","836,93",,,,,,,14.01.2009,01/14/2009,,,,
13.01.2009,"871,79","869,79","877,02","862,02",,,,,,,13.01.2009,01/13/2009,,,,
12.01.2009,"870,26","890,40","890,40","864,32",,,,,,,12.01.2009,01/12/2009,,,,
09.01.2009,"890,35","909,91","911,93","888,31",,,,,,,09.01.2009,01/09/2009,,,,
08.01.2009,"909,73","905,73","910,00","896,81",,,,,,,08.01.2009,01/08/2009,,,,
07.01.2009,"906,65","927,45","927,45","902,37",,,,,,,07.01.2009,01/07/2009,,,,
06.01.2009,"934,70","931,17","943,85","927,28",,,,,,,06.01.2009,01/06/2009,,,,
05.01.2009,"927,45","929,17","936,63","919,53",,,,,,,05.01.2009,01/05/2009,,,,
02.01.2009,"931,80","902,99","934,73","899,35",,,,,,,02.01.2009,01/02/2009,,,,
31.12.2008,"903,25","890,59","910,32","889,67",,,,,,,31.12.2008,12/31/2008,,,,
30.12.2008,"890,64","870,58","891,12","870,58",,,,,,,30.12.2008,12/30/2008,,,,
29.12.2008,"869,42","872,37","873,70","857,07",,,,,,,29.12.2008,12/29/2008,,,,
26.12.2008,"872,80","869,51","873,74","866,52",,,,,,,26.12.2008,12/26/2008,,,,
24.12.2008,"868,15","863,87","869,79","861,44",,,,,,,24.12.2008,12/24/2008,,,,
23.12.2008,"863,16","874,31","880,44","860,10",,,,,,,23.12.2008,12/23/2008,,,,
22.12.2008,"871,63","887,20","887,37","857,09",,,,,,,22.12.2008,12/22/2008,,,,
19.12.2008,"887,88","886,96","905,47","883,02",,,,,,,19.12.2008,12/19/2008,,,,
18.12.2008,"885,28","905,98","911,02","877,44",,,,,,,18.12.2008,12/18/2008,,,,
17.12.2008,"904,42","908,16","918,85","895,94",,,,,,,17.12.2008,12/17/2008,,,,
16.12.2008,"913,18","871,53","914,66","871,53",,,,,,,16.12.2008,12/16/2008,,,,
15.12.2008,"868,57","881,07","884,63","857,72",,,,,,,15.12.2008,12/15/2008,,,,
12.12.2008,"879,73","871,79","883,24","851,35",,,,,,,12.12.2008,12/12/2008,,,,
11.12.2008,"873,59","898,35","904,63","868,73",,,,,,,11.12.2008,12/11/2008,,,,
10.12.2008,"899,24","892,17","908,27","885,45",,,,,,,10.12.2008,12/10/2008,,,,
09.12.2008,"888,67","906,48","916,26","885,38",,,,,,,09.12.2008,12/09/2008,,,,
08.12.2008,"909,70","882,71","918,57","882,71",,,,,,,08.12.2008,12/08/2008,,,,
05.12.2008,"876,07","844,43","879,42","818,41",,,,,,,05.12.2008,12/05/2008,,,,
04.12.2008,"845,22","869,75","875,60","833,60",,,,,,,04.12.2008,12/04/2008,,,,
